Country code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010
462,-0.0220,-0.1160,-0.5810,-2.9040,2.4150,0.0000,0.0000,-2.6050,-3.0720,-1.1000,-0.1050,-0.0530
524,-40.5590,-80.2320,-70.0000,-21.0750,-5.7990,-41.0020,-101.1470,-144.9990,-101.0020,-99.0880,-100.0000,-100.0000
586,-8.2550,-16.7020,-93.2680,-209.9820,-138.1060,700.0000,1345.2320,139.7870,-1499.9980,-187.3320,-1750.0020,-1999.9980
144,-16.5000,-75.0000,-47.5000,-38.5000,-145.0000,-237.5000,-395.5000,-137.4400,-255.7800,-400.0020,-100.0010,-249.9980
920,29.4930,73.7410,-64.7550,-353.6590,-290.9770,-1778.2910,19.1170,211.5830,-2285.5020,-713.9730,-2201.6700,-2535.0320
96,5.1620,4.9110,4.8190,9.8710,9.6170,7.4500,3.6420,2.5900,4.1930,5.4360,3.5200,3.5000
116,-0.3210,-0.1270,-0.5640,-4.5210,-449.7000,-369.0440,0.0000,150.0000,155.6060,93.5370,-118.2080,-254.9420
360,-5.7170,-0.3610,-103.5410,-85.9760,-11.1770,-63.7320,-78.1780,-263.7820,-719.9860,-775.9210,-1184.2980,-1293.0890
418,-0.0100,0.0460,0.0760,0.0300,0.0460,-198.7560,-35.1100,0.1380,-30.1220,-87.4990,-114.9980,-74.9980
458,-36.0350,-0.5330,32.7080,-2.5640,-12.4830,9.3520,177.8690,461.3530,321.7970,421.9390,396.6620,84.4940
104,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-54.6600,-136.9900,-125.8200,4.0000,-1000.0000,-500.0000
608,0.0000,0.0000,0.0000,-272.1340,-238.0110,-313.8650,-176.9770,-298.9650,-695.1620,-775.9240,-1127.9000,-1233.3650
702,65.5600,67.9910,0.4280,-0.3630,5.8890,14.2660,154.6840,121.3600,231.7250,253.8810,232.4720,721.7380
764,0.0000,0.0000,0.0000,0.0000,402.5780,287.2260,341.9120,504.6740,-1107.5370,595.8050,1102.8630,492.2520
626,0.8540,1.8140,1.3190,1.9980,2.2640,-97.3450,10.8780,3.5310,-4.3810,-162.2100,40.3990,-49.9300
704,0.0000,0.0000,0.0000,0.0000,0.0000,-1053.8430,-324.9430,-332.3260,-315.8150,-287.0170,-432.1820,-430.6920
922,338.6070,233.6710,14.3530,-164.3680,273.1850,463.0730,1040.6040,-322.5260,-114.5160,-1409.4750,2206.1120,5723.3150
51,45.1920,80.8790,57.5040,84.9260,79.1850,18.0770,-46.5850,-67.9140,-500.0000,-225.0000,-100.0000,-75.0000
31,-14.8680,35.9790,-29.2730,-36.2630,-13.5640,-71.7950,-107.5050,-151.1630,-115.7270,-127.5100,53.2640,53.2640
48,3.1630,7.9060,-4.3390,-7.2000,19.1230,48.9610,3.1900,12.9000,5.4780,19.4920,25.0890,447.8560
196,-13.8000,-6.6480,-43.0250,-7.8430,3.0530,-1.2150,-27.6340,17.1670,43.1950,53.2600,61.8300,44.1660
268,128.8840,87.2310,-38.2830,1.9120,-63.2000,-80.2790,-21.4290,-64.5120,-544.0690,-390.0360,-309.0210,-150.0000
368,-0.5500,-1.1000,-1.8620,-6.8770,-8.5870,-47.7910,-199.9390,-630.1840,-154.0260,-17.8590,-580.1670,-150.0210
376,262.1670,167.5650,208.7590,72.4400,165.8790,62.5460,2.6040,65.4180,456.9230,245.3340,102.9350,273.6350
400,123.0940,119.2450,35.7150,254.3520,-29.7060,-80.7580,81.6570,118.1980,401.4720,-188.2620,-93.8970,202.9190
414,16.3940,32.7870,153.6000,137.5330,109.1610,101.4710,102.7460,118.9800,-601.8730,124.7190,161.6090,277.6290
422,1.6150,40.0000,20.0000,-35.0000,-10.0000,-286.0010,-220.0010,-220.0010,230.0000,0.0000,100.0000,-12.5000
275,-68.8130,-67.9600,-77.6390,-283.6340,-32.2500,-83.7000,-61.4500,-39.3500,35.0000,70.0000,-190.0000,-90.0000
512,-10.0000,-10.0000,-10.0000,-5.0000,25.4700,76.4090,81.5000,9.0000,65.5000,-228.9350,-50.0000,153.0030
634,5.6500,4.4920,16.3350,20.9140,34.3680,28.3150,101.9720,57.5190,-22.4550,42.8410,170.4030,857.0900
682,22.0670,18.7190,125.9350,187.4260,491.8750,995.6760,1391.6260,538.4120,-121.5080,-876.8910,1725.8030,1055.5170
760,-70.0000,-15.0000,-16.0000,-16.0000,-81.5010,-161.6720,-87.0010,-146.5010,-70.0000,-130.0000,548.2620,-55.8770
792,-40.0000,-183.5280,-319.9970,-335.0030,-314.7990,-367.9980,-77.5910,-150.0000,-200.0010,-149.9980,-100.0020,-50.0000
784,-1.5880,-1.8960,36.9230,54.6110,251.6780,387.8270,174.4440,259.5050,327.5750,469.3700,780.0040,3076.6340
887,-50.0000,-75.0000,-100.0000,-245.6620,-353.0000,-75.0000,-50.0000,-50.0000,650.0000,-100.0000,-100.0000,-135.0000
908,-1998.3950,-2858.0160,981.5140,-27.6960,1981.4110,1952.5310,1312.2480,2729.6590,5856.8480,4043.0380,9317.5240,9047.2680
923,-849.7200,-2480.9640,-315.3680,18.3530,-267.0810,322.6560,793.4820,95.2720,1181.5110,920.9500,876.7900,1131.7670
112,-389.5330,-174.8660,-224.2290,4.1310,-46.1510,-26.1350,10.7480,-32.5470,0.0000,0.0000,20.0000,-50.0100
